n,Resultado,Tempo_Relogio(ms),Tempo_CPU_Usuario(ms),Tempo_CPU_Sistema(ms)
909,Iteracao 909,0.002571,0.0024,0.0023
910,Iteracao 910,0.004431,0.0041,0.0041
911,Iteracao 911,0.002636,0.0024,0.0023
912,Iteracao 912,0.004076,0.0038,0.0038
913,Iteracao 913,0.002066,0.0019,0.0018
914,Iteracao 914,0.001979,0.0019,0.0018
915,Iteracao 915,0.001818,0.0017,0.0017
916,Iteracao 916,0.006002,0.0055,0.0055
917,Iteracao 917,0.002216,0.002,0.002
918,Iteracao 918,0.002818,0.0026,0.0026
919,Iteracao 919,0.002582,0.0024,0.0023
920,Iteracao 920,0.00256,0.0024,0.0023
921,Iteracao 921,0.002086,0.0019,0.0019
922,Iteracao 922,0.003216,0.003,0.003
923,Iteracao 923,0.002797,0.0026,0.0025
924,Iteracao 924,0.002054,0.0019,0.0018
925,Iteracao 925,0.002173,0.002,0.002
926,Iteracao 926,0.003883,0.0036,0.0036
927,Iteracao 927,0.001969,0.0018,0.0018
928,Iteracao 928,0.002023,0.0018,0.0018
929,Iteracao 929,0.001893,0.0018,0.0017
930,Iteracao 930,0.002238,0.0021,0.002
931,Iteracao 931,0.005895,0.0056,0.0058
932,Iteracao 932,0.004259,0.0039,0.0039
933,Iteracao 933,0.004045,0.0037,0.0037
934,Iteracao 934,0.002915,0.0027,0.0027
935,Iteracao 935,0.004313,0.004,0.004
936,Iteracao 936,0.012617,0.0117,0.0117
937,Iteracao 937,0.003399,0.0031,0.0031
938,Iteracao 938,0.00711,0.0066,0.0066
939,Iteracao 939,0.003065,0.0028,0.0027
940,Iteracao 940,0.003249,0.003,0.0029
941,Iteracao 941,0.064386,0.0609,0.0617
942,Iteracao 942,0.005841,0.0053,0.005
943,Iteracao 943,0.263785,0.2467,0.2482
944,Iteracao 944,0.290418,0.2711,0.272
945,Iteracao 945,0.064645,0.0607,0.0609
946,Iteracao 946,0.114693,0.1073,0.1079
947,Iteracao 947,0.003507,0.0032,0.0032
948,Iteracao 948,0.004033,0.0037,0.0037
949,Iteracao 949,0.002538,0.0023,0.0023
950,Iteracao 950,0.016489,0.0153,0.0153
951,Iteracao 951,0.012219,0.0114,0.0114
952,Iteracao 952,0.002367,0.0021,0.0021
953,Iteracao 953,0.003818,0.0035,0.0035
954,Iteracao 954,0.002667,0.0024,0.0024
955,Iteracao 955,0.01224,0.0114,0.0113
956,Iteracao 956,0.005916,0.0055,0.0054
957,Iteracao 957,0.002603,0.0024,0.0024
958,Iteracao 958,0.002581,0.0024,0.0023
959,Iteracao 959,0.002463,0.0022,0.0022
960,Iteracao 960,0.049532,0.047,0.0474
961,Iteracao 961,0.003517,0.0033,0.0032
962,Iteracao 962,0.18563,0.1735,0.1745
963,Iteracao 963,0.062085,0.0579,0.058
964,Iteracao 964,0.008164,0.0079,0.0082
965,Iteracao 965,0.061762,0.058,0.0583
966,Iteracao 966,0.068312,0.0642,0.0646
967,Iteracao 967,0.00356,0.0033,0.0033
968,Iteracao 968,0.084555,0.0797,0.0804
969,Iteracao 969,0.002775,0.0025,0.0024
970,Iteracao 970,0.006066,0.0056,0.0056
971,Iteracao 971,0.008455,0.0078,0.0075
972,Iteracao 972,0.002098,0.002,0.002
973,Iteracao 973,0.010422,0.0097,0.0097
974,Iteracao 974,0.002506,0.0024,0.0023
975,Iteracao 975,0.004259,0.004,0.0039
976,Iteracao 976,0.008261,0.0077,0.0076
977,Iteracao 977,0.005453,0.005,0.005
978,Iteracao 978,0.041906,0.0397,0.0401
979,Iteracao 979,0.005454,0.005,0.005
980,Iteracao 980,0.002152,0.002,0.002
981,Iteracao 981,0.250716,0.2342,0.2381
982,Iteracao 982,0.040885,0.0379,0.0379
983,Iteracao 983,0.03755,0.0357,0.0361
984,Iteracao 984,0.00256,0.0023,0.0022
985,Iteracao 985,0.124675,0.1169,0.1175
986,Iteracao 986,0.006303,0.0058,0.0057
987,Iteracao 987,0.00199,0.0019,0.0018
988,Iteracao 988,0.017145,0.0159,0.0159
989,Iteracao 989,0.001925,0.0018,0.0017
990,Iteracao 990,0.047403,0.0448,0.0451
991,Iteracao 991,0.00611,0.0057,0.0056
992,Iteracao 992,0.002119,0.0019,0.0019
993,Iteracao 993,0.050877,0.048,0.0484
994,Iteracao 994,0.094558,0.0884,0.0889
995,Iteracao 995,0.010412,0.0097,0.0096
996,Iteracao 996,0.002119,0.002,0.0019
997,Iteracao 997,0.042196,0.0399,0.0403
998,Iteracao 998,0.007863,0.0073,0.0072
999,Iteracao 999,0.011326,0.0106,0.0105
1000,Iteracao 1000,0.003076,0.0028,0.0028
1001,Iteracao 1001,0.011799,0.011,0.011
1002,Iteracao 1002,0.001871,0.0018,0.0017
1003,Iteracao 1003,0.003528,0.0032,0.0032
1004,Iteracao 1004,0.002001,0.0018,0.0018
1005,Iteracao 1005,0.005872,0.0054,0.0054
1006,Iteracao 1006,0.002172,0.002,0.0019
