rotulo fase id_evento id_estrutura tempo endereco tamanho
L 0 607 0 0.319500187 121 32
L 0 608 0 0.319711172 0 32
L 0 609 0 0.319716084 1 32
L 0 610 0 0.319717006 2 32
L 0 611 0 0.319717886 3 32
L 0 612 0 0.319893901 122 32
L 0 613 0 0.319897600 0 32
L 0 614 0 0.319899993 1 32
L 0 615 0 0.319900822 2 32
L 0 616 0 0.319903340 3 32
L 0 617 0 0.319954185 123 32
L 0 618 0 0.319955097 0 32
L 0 619 0 0.319957356 1 32
L 0 620 0 0.319958319 2 32
L 0 621 0 0.319959324 3 32
L 0 622 0 0.320723469 124 32
L 0 623 0 0.320739633 0 32
L 0 624 0 0.320747508 1 32
L 0 625 0 0.320748638 2 32
L 0 626 0 0.320750440 3 32
L 0 627 0 0.320948795 125 32
L 0 628 0 0.320951779 0 32
L 0 629 0 0.320954929 1 32
L 0 630 0 0.320955685 2 32
L 0 631 0 0.320956960 3 32
L 0 632 0 0.321018404 126 32
L 0 633 0 0.321019492 0 32
L 0 634 0 0.321021731 1 32
L 0 635 0 0.321022663 2 32
L 0 636 0 0.321024124 3 32
L 0 637 0 0.321078616 127 32
L 0 638 0 0.321080264 0 32
L 0 639 0 0.321081942 1 32
L 0 640 0 0.321082927 2 32
L 0 641 0 0.321084968 3 32
L 0 642 0 0.321196843 128 32
L 0 643 0 0.321198926 0 32
L 0 644 0 0.321201226 1 32
L 0 645 0 0.321202211 2 32
L 0 646 0 0.321204449 3 32
L 0 647 0 0.321304305 129 32
L 0 648 0 0.321306367 0 32
L 0 649 0 0.321308843 1 32
L 0 650 0 0.321309724 2 32
L 0 651 0 0.321310843 3 32
L 0 652 0 0.321455990 130 32
L 0 653 0 0.321458373 0 32
L 0 654 0 0.321460828 1 32
L 0 655 0 0.321461761 2 32
L 0 656 0 0.321463616 3 32
L 0 657 0 0.321567181 131 32
L 0 658 0 0.321570207 0 32
L 0 659 0 0.321573180 1 32
L 0 660 0 0.321574103 2 32
L 0 661 0 0.321575336 3 32
L 0 662 0 0.321673575 132 32
L 0 663 0 0.321675834 0 32
L 0 664 0 0.321678010 1 32
L 0 665 0 0.321678870 2 32
L 0 666 0 0.321680631 3 32
L 0 667 0 0.321824731 133 32
L 0 668 0 0.321826918 0 32
L 0 669 0 0.321828907 1 32
L 0 670 0 0.321829860 2 32
L 0 671 0 0.321831477 3 32
L 0 672 0 0.321993472 134 32
L 0 673 0 0.321995575 0 32
L 0 674 0 0.321997585 1 32
L 0 675 0 0.321999813 2 32
L 0 676 0 0.322001150 3 32
L 0 677 0 0.322154762 135 32
L 0 678 0 0.322158171 0 32
L 0 679 0 0.322160710 1 32
L 0 680 0 0.322161735 2 32
L 0 681 0 0.322164088 3 32
L 0 682 0 0.322351862 136 32
L 0 683 0 0.322354878 0 32
L 0 684 0 0.322357582 1 32
L 0 685 0 0.322358483 2 32
L 0 686 0 0.322360328 3 32
L 0 687 0 0.322513028 137 32
L 0 688 0 0.322515805 0 32
L 0 689 0 0.322518137 1 32
L 0 690 0 0.322519090 2 32
L 0 691 0 0.322520623 3 32
L 0 692 0 0.322631017 138 32
L 0 693 0 0.322633732 0 32
L 0 694 0 0.322635597 1 32
L 0 695 0 0.322636519 2 32
L 0 696 0 0.322637555 3 32
L 0 697 0 0.322737017 139 32
L 0 698 0 0.322738893 0 32
L 0 699 0 0.322741297 1 32
L 0 700 0 0.322742053 2 32
L 0 701 0 0.322743193 3 32
L 0 702 0 0.359379837 140 32
L 0 703 0 0.359392291 0 32
L 0 704 0 0.359398187 1 32
L 0 705 0 0.359399399 2 32
L 0 706 0 0.359400539 3 32
L 0 707 0 0.359509959 141 32
L 0 708 0 0.359512207 0 32
L 0 709 0 0.359514445 1 32
L 0 710 0 0.359515482 2 32
L 0 711 0 0.359516528 3 32
L 0 712 0 0.359671964 142 32
L 0 713 0 0.359674544 0 32
L 0 714 0 0.359676243 1 32
L 0 715 0 0.359677197 2 32
L 0 716 0 0.359679321 3 32
L 0 717 0 0.359820116 143 32
L 0 718 0 0.359822468 0 32
L 0 719 0 0.359824395 1 32
L 0 720 0 0.359825348 2 32
L 0 721 0 0.359827006 3 32
L 0 722 0 0.359984856 144 32
L 0 723 0 0.359987333 0 32
L 0 724 0 0.359989271 1 32
L 0 725 0 0.359990027 2 32
L 0 726 0 0.359991654 3 32
L 0 727 0 0.360181149 145 32
L 0 728 0 0.360183407 0 32
L 0 729 0 0.360185780 1 32
L 0 730 0 0.360186796 2 32
L 0 731 0 0.360189231 3 32
L 0 732 0 0.360459992 146 32
L 0 733 0 0.360462873 0 32
L 0 734 0 0.360464852 1 32
L 0 735 0 0.360465753 2 32
L 0 736 0 0.360466727 3 32
L 0 737 0 0.360569225 147 32
L 0 738 0 0.360571298 0 32
L 0 739 0 0.360573204 1 32
L 0 740 0 0.360574054 2 32
L 0 741 0 0.360574924 3 32
L 0 742 0 0.360813648 148 32
L 0 743 0 0.360820528 0 32
L 0 744 0 0.360823129 1 32
L 0 745 0 0.360823885 2 32
L 0 746 0 0.360825584 3 32
L 0 747 0 0.361024425 149 32
L 0 748 0 0.361026871 0 32
L 0 749 0 0.361030166 1 32
L 0 750 0 0.361030953 2 32
L 0 751 0 0.361032010 3 32
L 0 752 0 0.361175250 150 32
L 0 753 0 0.361178224 0 32
L 0 754 0 0.361180628 1 32
L 0 755 0 0.361181415 2 32
L 0 756 0 0.361184628 3 32
L 0 757 0 0.361437909 151 32
L 0 758 0 0.361440323 0 32
L 0 759 0 0.361442437 1 32
L 0 760 0 0.361443131 2 32
L 0 761 0 0.361444375 3 32
L 0 762 0 0.361602287 152 32
L 0 763 0 0.361604712 0 32
L 0 764 0 0.361606525 1 32
L 0 765 0 0.361607447 2 32
L 0 766 0 0.361609416 3 32
L 0 767 0 0.361660137 153 32
L 0 768 0 0.361662053 0 32
L 0 769 0 0.361664571 1 32
